spid,name
1,Aaptos aaptos
2,Acanthella sp
3,Acanthostrongylophora sp
4,Agelas oroides
5,Agelas sp
6,Aka coralliphaga
7,Amphimedon chloros
8,Arenosclera brasiliensis
9,Axinella sp
10,Cacospongia sp
11,Callyspongia siphonella
12,Caminus sphaeroconia
13,Cliona varians
14,Cribrochalina sp
15,Cryptotethya crypta
16,Cymbastela hooperi
17,Diacarnus erythraeanus
18,Discodermia sp
19,Dysidea avara
20,Dysidea granulosa
21,Echinomuricea sp
22,Erylus discophorus
23,Euryspongia sp
24,Halicortex sp
25,Hamigera tarangaensis
26,Heteractis crispa
27,Hyrtio communis
28,Hyrtio erectus
29,Hyrtio reticulatus
30,Hyrtios sp
31,Jaspis sp
32,Leucetta cf chagosensis
33,Luffariella variabilis
34,Melophlus sarassinorum
35,Monanchora unguifera
36,Mycale sp
37,Myrmekioderma styx
38,Negombata magnifica
39,Oceanapia sp
40,Pachychalina sp
41,Pachymatisma johnstonii
42,Phorbas sp
43,Plakinastrella onkodes
44,Plakortis simplex
45,Psammaplysilla
46,several sponge species
47,Sidonops microspinosa
48,Spongosorites sp
49,Stichodactyla helianthus
50,Theonella sp
51,Theonella swinhoei
